VFX Catalog,资产类型,效果名称,标准资产名称,VFX ID,Legacy VFX ID,GameplayTag,Element,Form,Context,Lifecycle,Priority,Effect Type,正式效果,Catalog 状态,历史来源路径,标准目标路径,资产迁移状态
00_Core,NiagaraEffectType,ET_VFX_MagicProjectile,ET_VFX_MagicProjectile,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH04_MagicProjectile/EffectTypes/NET_VFX_CH04_MagicProjectile,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/MagicProjectile/ET_VFX_MagicProjectile,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_MagicShield,ET_VFX_MagicShield,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH11_MagicShield/EffectTypes/NET_VFX_CH11_MagicShield,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/MagicShield/ET_VFX_MagicShield,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_MagicSpark,ET_VFX_MagicSpark,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH01_MagicSpark/EffectTypes/NET_VFX_CH01_MagicSpark,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/MagicSpark/ET_VFX_MagicSpark,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_PetalBloom_PetalBloom,ET_PetalBloom_PetalBloom,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Nature/Niagara/Scalability/ET_PetalBloom_PetalBloom,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/Nature/ET_PetalBloom_PetalBloom,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_Portal,ET_VFX_Portal,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH10_PortalTeleport/EffectTypes/NET_VFX_CH10_Portal,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/PortalTeleport/ET_VFX_Portal,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_Teleport,ET_VFX_Teleport,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH10_PortalTeleport/EffectTypes/NET_VFX_CH10_Teleport,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/PortalTeleport/ET_VFX_Teleport,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_ProjectileTrail,ET_VFX_ProjectileTrail,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH05_ProjectileTrail/EffectTypes/NET_VFX_CH05_ProjectileTrail,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/ProjectileTrail/ET_VFX_ProjectileTrail,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEffectType,ET_VFX_Summoning,ET_VFX_Summoning,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH09_Summoning/EffectTypes/NET_VFX_CH09_Summoning,/ModularGameVFX/ModularGameVFXLibrary/00_Core/EffectTypes/Summoning/ET_VFX_Summoning,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEmitter,NE_VFX_Flash,NE_VFX_Flash,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH06_MagicImpact/Emitters/NE_VFX_CH06_Flash,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Glow/MagicImpact/NE_VFX_Flash,已迁移（migration_complete.json）；旧路径已移除
00_Core,NiagaraEmitter,NE_VFX_StarFlash,NE_VFX_StarFlash,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Niagara/CH06_MagicImpact/Emitters/NE_VFX_CH06_StarFlash,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Glow/MagicImpact/NE_VFX_StarFlash,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_Arcane_Core,MI_Arcane_Core,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Instances/MI_Arcane_Core,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/MI_Arcane_Core,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_Arcane_ImpactPlasma,MI_Arcane_ImpactPlasma,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Instances/MI_Arcane_ImpactPlasma,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/MI_Arcane_ImpactPlasma,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_Arcane_Plasma,MI_Arcane_Plasma,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Instances/MI_Arcane_Plasma,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/MI_Arcane_Plasma,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_Arcane_Ribbon,MI_Arcane_Ribbon,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Instances/MI_Arcane_Ribbon,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/MI_Arcane_Ribbon,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_Arcane_Seal,MI_Arcane_Seal,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Instances/MI_Arcane_Seal,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/MI_Arcane_Seal,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_Arcane_Star,MI_Arcane_Star,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Instances/MI_Arcane_Star,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/MI_Arcane_Star,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_Arcane_Energy,M_Arcane_Energy,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Parents/M_Arcane_Energy,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/M_Arcane_Energy,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_Arcane_FlowingWake,M_Arcane_FlowingWake,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Parents/M_Arcane_FlowingWake,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/M_Arcane_FlowingWake,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_Arcane_Plasma,M_Arcane_Plasma,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Parents/M_Arcane_Plasma,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/M_Arcane_Plasma,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_Arcane_Spindle,M_Arcane_Spindle,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Effects/Arcane/Materials/Parents/M_Arcane_Spindle,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Arcane/M_Arcane_Spindle,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Marker_BossTarget,MI_VFX_Marker_BossTarget,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Marker_BossTarget,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Marker_BossTarget,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Marker_Critical,MI_VFX_Marker_Critical,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Marker_Critical,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Marker_Critical,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Marker_Target,MI_VFX_Marker_Target,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Marker_Target,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Marker_Target,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Circle,MI_VFX_Telegraph_Circle,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Circle,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Circle,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Cone,MI_VFX_Telegraph_Cone,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Cone,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Cone,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_CountdownRadial,MI_VFX_Telegraph_CountdownRadial,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_CountdownRadial,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_CountdownRadial,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Cross,MI_VFX_Telegraph_Cross,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Cross,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Cross,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Donut,MI_VFX_Telegraph_Donut,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Donut,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Donut,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Forward,MI_VFX_Telegraph_Forward,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Forward,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Forward,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Friendly,MI_VFX_Telegraph_Friendly,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Friendly,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Friendly,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Healing,MI_VFX_Telegraph_Healing,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Healing,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Healing,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Line,MI_VFX_Telegraph_Line,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Line,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Line,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Rotate,MI_VFX_Telegraph_Rotate,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Rotate,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Rotate,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Sector,MI_VFX_Telegraph_Sector,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Sector,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Sector,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Spread,MI_VFX_Telegraph_Spread,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Spread,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Spread,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_Telegraph_Stack,MI_VFX_Telegraph_Stack,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Instances/MI_VFX_Telegraph_Stack,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/MI_VFX_Telegraph_Stack,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_TargetMarker_Master,M_VFX_TargetMarker_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Parents/M_VFX_TargetMarker_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/M_VFX_TargetMarker_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Telegraph_Decal,M_VFX_Telegraph_Decal,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Parents/M_VFX_Telegraph_Decal,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/M_VFX_Telegraph_Decal,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Telegraph_Master,M_VFX_Telegraph_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH24_CombatReadability/Parents/M_VFX_Telegraph_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/CombatReadability/M_VFX_Telegraph_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Decal_Master,M_VFX_Decal_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Decal_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Decal_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Distortion_Master,M_VFX_Distortion_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Distortion_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Distortion_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_EnergyMesh_Master,M_VFX_EnergyMesh_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_EnergyMesh_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_EnergyMesh_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Flipbook_Additive_Master,M_VFX_Flipbook_Additive_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Flipbook_Additive_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Flipbook_Additive_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Flipbook_Translucent_Master,M_VFX_Flipbook_Translucent_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Flipbook_Translucent_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Flipbook_Translucent_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Ground_Master,M_VFX_Ground_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Ground_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Ground_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Ribbon_Additive_Master,M_VFX_Ribbon_Additive_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Ribbon_Additive_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Ribbon_Additive_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Ribbon_Translucent_Master,M_VFX_Ribbon_Translucent_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Ribbon_Translucent_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Ribbon_Translucent_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Sprite_Additive_Master,M_VFX_Sprite_Additive_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Sprite_Additive_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Sprite_Additive_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Sprite_Translucent_Master,M_VFX_Sprite_Translucent_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Sprite_Translucent_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Sprite_Translucent_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Surface_Opaque_Master,M_VFX_Surface_Opaque_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Surface_Opaque_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Surface_Opaque_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_Surface_Translucent_Master,M_VFX_Surface_Translucent_Master,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/Common/Masters/M_VFX_Surface_Translucent_Master,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/Common/M_VFX_Surface_Translucent_Master,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_Arc,MI_VFX_EnergyOrb_Arc,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_Arc,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_Arc,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_Core,MI_VFX_EnergyOrb_Core,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_Core,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_Core,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_EnergyArc,MI_VFX_EnergyOrb_EnergyArc,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_EnergyArc,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_EnergyArc,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_GradientSharp,MI_VFX_EnergyOrb_GradientSharp,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_GradientSharp,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_GradientSharp,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_GradientSoft,MI_VFX_EnergyOrb_GradientSoft,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_GradientSoft,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_GradientSoft,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_InnerFlow,MI_VFX_EnergyOrb_InnerFlow,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_InnerFlow,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_InnerFlow,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_Orbit,MI_VFX_EnergyOrb_Orbit,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_Orbit,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_Orbit,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_OrbitRing,MI_VFX_EnergyOrb_OrbitRing,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_OrbitRing,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_OrbitRing,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_Shell,MI_VFX_EnergyOrb_Shell,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_Shell,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_Shell,已迁移（migration_complete.json）；旧路径已移除
00_Core,MaterialInstanceConstant,MI_VFX_EnergyOrb_ShellBreakup,MI_VFX_EnergyOrb_ShellBreakup,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Instances/MI_VFX_EnergyOrb_ShellBreakup,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/MI_VFX_EnergyOrb_ShellBreakup,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_EnergyOrb_Core,M_VFX_EnergyOrb_Core,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Parents/M_VFX_EnergyOrb_Core,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/M_VFX_EnergyOrb_Core,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_EnergyOrb_InnerFlow,M_VFX_EnergyOrb_InnerFlow,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Parents/M_VFX_EnergyOrb_InnerFlow,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/M_VFX_EnergyOrb_InnerFlow,已迁移（migration_complete.json）；旧路径已移除
00_Core,Material,M_VFX_EnergyOrb_Ring,M_VFX_EnergyOrb_Ring,,,,,,,,,,否,SharedAsset,/ModularGameVFX/Materials/CH03_EnergyOrb/Parents/M_VFX_EnergyOrb_Ring,/ModularGameVFX/ModularGameVFXLibrary/00_Core/Materials/EnergyOrb/M_VFX_EnergyOrb_Ring,已迁移（migration_complete.json）；旧路径已移除
